2009 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	2724.0	57.0	5.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	197.0	57.0	4.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2010 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	2982.0	55.0	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	223.0	49.0	5.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	3288.0	55.0	5.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	220.0	59.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	21.0	52.0	7.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2012 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	3538.0	57.0	5.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	228.0	62.0	5.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	43.0	77.0	5.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2013 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4014.0	58.0	5.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	279.0	61.0	5.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	75.0	63.0	6.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2014 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4256.0	58.0	5.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	italy	413.0	61.0	5.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	fism	69.0	70.0	6.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2015 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4420.0	60.0	5.44	0.0	0.0	0.0	15.0	0.0	7.0	0.0	3.6	0.0	0.68	0.0	0.0
	italy	452.0	62.0	5.25	0.0	0.0	0.0	19.0	0.0	6.0	0.0	3.34	0.0	0.86	0.0	0.0
	fism	81.0	53.0	7.7	0.0	0.0	2.0	15.0	2.0	7.0	2.0	3.6	2.0	0.68	0.0	0.0
2016 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4534.0	60.0	5.4	74.0	13.0	81.0	22.78	81.0	11.89	78.0	5.39	80.0	1.48	0.0	0.0
	italy	477.0	62.0	5.45	79.0	14.9	84.0	27.34	84.0	13.89	83.0	6.52	83.0	1.82	0.0	0.0
	fism	93.0	65.0	5.56	78.0	12.51	83.0	28.91	83.0	14.84	82.0	6.31	82.0	1.91	0.0	0.0
2017 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4580.0	62.0	5.04	80.0	13.53	96.0	19.52	96.0	13.49	93.0	5.57	94.0	1.54	0.0	0.0
	italy	496.0	61.0	4.81	83.0	17.05	97.0	25.18	97.0	16.83	95.0	7.44	96.0	1.99	0.0	0.0
	fism	74.0	58.0	4.87	85.0	11.13	99.0	23.21	99.0	15.44	99.0	6.54	97.0	1.76	0.0	0.0
2018 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	4667.0	62.0	5.29	80.0	13.92	97.0	14.66	97.0	12.92	95.0	5.21	95.0	1.65	0.0	0.0
	italy	496.0	64.0	5.61	85.0	15.62	99.0	22.95	99.0	19.94	97.0	8.15	97.0	2.65	0.0	0.0
	fism	67.0	58.0	7.61	90.0	25.95	100.0	27.78	100.0	24.46	97.0	9.32	99.0	2.87	0.0	0.0
2019 	 authors	num_of_pub	perc_if	av_if	perc_alt	av_alt	perc_cit	av_cit	perc_reccit	av_reccit	perc_fcr	av_fcr	perc_rcr	av_rcr	perc_cima	av_cima
	all	5100.0	65.0	5.53	80.0	15.49	98.0	16.37	98.0	14.55	95.0	5.66	89.0	1.76	10.0	2.03
